,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,YearSalary
0,Mikal Bridges,28,NYK,SF,82,82,3036,0.5,0.594,0.354,0.57,0.814,0.585,0.1,0.391,107.0,109.0,98.0,105.0,104.0,101.0,41.0,93.0,63.1,20.9,23300000.0
1,Josh Hart,29,NYK,SG,77,77,2897,0.525,0.618,0.333,0.579,0.776,0.611,0.266,0.327,112.0,113.0,93.0,107.0,99.0,106.0,110.0,78.0,55.7,59.7,18144000.0
2,Anthony Edwards,23,MIN,SG,79,79,2871,0.447,0.501,0.395,0.547,0.837,0.595,0.308,0.503,96.0,92.0,110.0,101.0,107.0,103.0,127.0,119.0,11.2,67.9,42176400.0
3,Devin Booker,28,PHO,SG,75,75,2795,0.461,0.542,0.332,0.525,0.894,0.589,0.34,0.388,99.0,99.0,92.0,97.0,115.0,102.0,140.0,92.0,-51.3,41.7,49205800.0
4,James Harden,35,LAC,PG,79,79,2789,0.41,0.472,0.352,0.501,0.874,0.582,0.446,0.516,88.0,87.0,98.0,92.0,112.0,101.0,184.0,122.0,-109.5,16.6,33653846.0
5,DeMar DeRozan,35,SAC,SF,77,77,2768,0.477,0.513,0.328,0.509,0.857,0.569,0.337,0.196,102.0,94.0,91.0,94.0,110.0,99.0,139.0,46.0,-88.7,-20.9,23400000.0
6,Trae Young,26,ATL,PG,76,76,2739,0.411,0.474,0.34,0.491,0.875,0.567,0.408,0.467,88.0,87.0,94.0,90.0,112.0,98.0,168.0,111.0,-144.5,-29.1,43031940.0
7,Tyler Herro,25,MIA,SG,77,77,2725,0.472,0.565,0.375,0.563,0.878,0.605,0.237,0.486,101.0,104.0,104.0,104.0,113.0,105.0,98.0,115.0,56.3,86.2,29000000.0
8,OG Anunoby,27,NYK,PF,74,74,2706,0.476,0.561,0.372,0.559,0.81,0.591,0.22,0.448,102.0,103.0,103.0,103.0,104.0,103.0,91.0,106.0,33.5,33.9,36637932.0
9,Jalen Green,22,HOU,SG,82,82,2697,0.423,0.482,0.354,0.505,0.813,0.544,0.234,0.46,91.0,88.0,98.0,93.0,104.0,94.0,96.0,109.0,-110.8,-103.3,12483048.0
10,Christian Braun,23,DEN,SG,79,77,2675,0.58,0.648,0.397,0.634,0.827,0.665,0.261,0.273,124.0,119.0,110.0,117.0,106.0,115.0,107.0,65.0,149.3,163.4,3089640.0
11,Bam Adebayo,27,MIA,C,78,78,2674,0.485,0.517,0.357,0.521,0.765,0.561,0.295,0.199,104.0,95.0,99.0,96.0,98.0,97.0,121.0,47.0,-49.9,-38.9,34848340.0
12,Ivica Zubac,27,LAC,C,80,80,2624,0.628,0.628,0.0,0.628,0.661,0.641,0.251,0.0,135.0,115.0,0.0,116.0,85.0,111.0,103.0,0.0,160.9,134.8,11743210.0
13,Jayson Tatum,26,BOS,PF,72,72,2624,0.452,0.559,0.343,0.537,0.814,0.582,0.3,0.497,97.0,103.0,95.0,99.0,104.0,101.0,124.0,118.0,-17.2,20.7,34848340.0
14,Jaden McDaniels,24,MIN,PF,82,82,2614,0.477,0.561,0.33,0.537,0.813,0.562,0.153,0.363,102.0,103.0,92.0,99.0,104.0,97.0,63.0,86.0,-9.8,-26.0,23017242.0
15,Keegan Murray,24,SAC,PF,76,76,2610,0.444,0.566,0.343,0.538,0.833,0.553,0.088,0.548,95.0,104.0,95.0,99.0,107.0,96.0,36.0,130.0,-8.6,-39.5,8809560.0
16,Zach LaVine,29,2TM,SF,74,74,2602,0.511,0.562,0.446,0.609,0.825,0.639,0.233,0.438,109.0,103.0,124.0,112.0,106.0,111.0,96.0,104.0,160.6,170.1,44531940.0
17,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,0.519,0.571,0.375,0.569,0.898,0.637,0.404,0.263,111.0,105.0,104.0,105.0,115.0,111.0,166.0,62.0,84.4,236.4,35859950.0
18,Michael Porter Jr.,26,DEN,SF,77,77,2593,0.504,0.599,0.395,0.596,0.768,0.617,0.185,0.467,108.0,110.0,110.0,110.0,98.0,107.0,76.0,111.0,110.7,91.9,35859950.0
19,Derrick White,30,BOS,SG,76,76,2574,0.442,0.593,0.384,0.58,0.839,0.606,0.168,0.721,95.0,109.0,106.0,107.0,108.0,105.0,69.0,171.0,71.4,61.2,20071429.0
