Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards,-9999
1,Mikal Bridges,28,NYK,SF,82,82,3036,.500,.594,.354,.570,.814,.585,.100,.391,107,109,98,105,104,101,41,93,63.1,20.9,,bridgmi01
2,Josh Hart,29,NYK,SG,77,77,2897,.525,.618,.333,.579,.776,.611,.266,.327,112,113,93,107,99,106,110,78,55.7,59.7,,hartjo01
3,Anthony Edwards,23,MIN,SG,79,79,2871,.447,.501,.395,.547,.837,.595,.308,.503,96,92,110,101,107,103,127,119,11.2,67.9,,edwaran01
4,Devin Booker,28,PHO,SG,75,75,2795,.461,.542,.332,.525,.894,.589,.340,.388,99,99,92,97,115,102,140,92,-51.3,41.7,,bookede01
5,James Harden,35,LAC,PG,79,79,2789,.410,.472,.352,.501,.874,.582,.446,.516,88,87,98,92,112,101,184,122,-109.5,16.6,,hardeja01
6,DeMar DeRozan,35,SAC,SF,77,77,2768,.477,.513,.328,.509,.857,.569,.337,.196,102,94,91,94,110,99,139,46,-88.7,-20.9,,derozde01
7,Trae Young,26,ATL,PG,76,76,2739,.411,.474,.340,.491,.875,.567,.408,.467,88,87,94,90,112,98,168,111,-144.5,-29.1,,youngtr01
8,Tyler Herro,25,MIA,SG,77,77,2725,.472,.565,.375,.563,.878,.605,.237,.486,101,104,104,104,113,105,98,115,56.3,86.2,,herroty01
9,OG Anunoby,27,NYK,PF,74,74,2706,.476,.561,.372,.559,.810,.591,.220,.448,102,103,103,103,104,103,91,106,33.5,33.9,,anunoog01
10,Jalen Green,22,HOU,SG,82,82,2697,.423,.482,.354,.505,.813,.544,.234,.460,91,88,98,93,104,94,96,109,-110.8,-103.3,,greenja05
11,Christian Braun,23,DEN,SG,79,77,2675,.580,.648,.397,.634,.827,.665,.261,.273,124,119,110,117,106,115,107,65,149.3,163.4,,braunch01
12,Bam Adebayo,27,MIA,C,78,78,2674,.485,.517,.357,.521,.765,.561,.295,.199,104,95,99,96,98,97,121,47,-49.9,-38.9,,adebaba01
13,Ivica Zubac,27,LAC,C,80,80,2624,.628,.628,,.628,.661,.641,.251,.000,135,115,,116,85,111,103,0,160.9,134.8,,zubaciv01
14,Jayson Tatum,26,BOS,PF,72,72,2624,.452,.559,.343,.537,.814,.582,.300,.497,97,103,95,99,104,101,124,118,-17.2,20.7,,tatumja01
15,Jaden McDaniels,24,MIN,PF,82,82,2614,.477,.561,.330,.537,.813,.562,.153,.363,102,103,92,99,104,97,63,86,-9.8,-26.0,,mcdanja02
16,Keegan Murray,24,SAC,PF,76,76,2610,.444,.566,.343,.538,.833,.553,.088,.548,95,104,95,99,107,96,36,130,-8.6,-39.5,,murrake02
17,Zach LaVine,29,2TM,SF,74,74,2602,.511,.562,.446,.609,.825,.639,.233,.438,109,103,124,112,106,111,96,104,160.6,170.1,,lavinza01
17,Zach LaVine,29,CHI,SF,42,42,1432,.511,.560,.446,.607,.797,.637,.256,.430,109,103,124,112,102,111,106,102,90.8,96.5,,lavinza01
17,Zach LaVine,29,SAC,SG,32,32,1170,.511,.564,.446,.611,.874,.642,.201,.450,109,103,124,113,112,111,83,107,69.8,73.6,,lavinza01
18,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,.519,.571,.375,.569,.898,.637,.404,.263,111,105,104,105,115,111,166,62,84.4,236.4,,gilgesh01
19,Michael Porter Jr.,26,DEN,SF,77,77,2593,.504,.599,.395,.596,.768,.617,.185,.467,108,110,110,110,98,107,76,111,110.7,91.9,,portemi01
20,Derrick White,30,BOS,SG,76,76,2574,.442,.593,.384,.580,.839,.606,.168,.721,95,109,106,107,108,105,69,171,71.4,61.2,,whitede01
21,Dyson Daniels,21,ATL,SG,76,76,2571,.493,.545,.340,.536,.593,.545,.152,.255,106,100,95,99,76,95,62,60,-12.5,-61.6,,daniedy01
22,Nikola Jokić,29,DEN,C,70,70,2571,.576,.627,.417,.627,.800,.663,.331,.243,123,115,116,115,103,115,136,58,228.5,270.5,,jokicni01
23,Austin Reaves,26,LAL,SG,73,73,2550,.460,.547,.377,.556,.877,.616,.353,.512,98,100,105,102,112,107,145,122,27.7,94.4,,reaveau01
24,Toumani Camara,24,POR,PF,78,78,2548,.458,.542,.375,.552,.722,.572,.176,.503,98,99,104,102,93,99,72,119,13.3,-7.0,,camarto01
25,Pascal Siakam,30,IND,PF,78,78,2548,.519,.568,.389,.572,.734,.599,.261,.274,111,104,108,105,94,104,107,65,68.2,59.7,,siakapa01
26,Brook Lopez,36,MIL,C,80,80,2546,.509,.636,.373,.599,.826,.624,.178,.482,109,117,103,110,106,108,73,114,86.3,79.1,,lopezbr01
27,Karl-Anthony Towns,29,NYK,C,72,72,2517,.526,.567,.420,.584,.829,.630,.337,.278,113,104,117,108,106,109,139,66,100.3,151.5,,townska01
28,Bub Carrington,19,WAS,PG,82,57,2458,.401,.475,.339,.493,.812,.514,.114,.544,86,87,94,91,104,89,47,129,-74.4,-98.1,,carrica01
29,Cade Cunningham,23,DET,PG,70,70,2452,.469,.515,.356,.521,.846,.565,.254,.287,100,94,99,96,108,98,105,68,-65.5,-36.6,,cunnica01
30,Tyrese Haliburton,24,IND,PG,73,73,2451,.473,.581,.388,.582,.851,.616,.221,.559,101,107,108,107,109,107,91,133,77.3,87.1,,halibty01
31,Coby White,24,CHI,SG,74,73,2450,.453,.544,.370,.550,.902,.601,.274,.521,97,100,103,101,116,104,113,124,14.4,61.5,,whiteco01
32,LeBron James,40,LAL,SF,70,70,2444,.513,.574,.376,.571,.782,.604,.261,.312,110,105,104,105,100,105,107,74,71.6,78.6,,jamesle01
33,Domantas Sabonis,28,SAC,C,70,70,2429,.590,.627,.417,.627,.754,.655,.324,.175,126,115,116,115,97,114,133,41,149.1,161.4,,sabondo01
34,Jamal Murray,27,DEN,PG,67,67,2418,.474,.518,.393,.543,.886,.584,.219,.354,101,95,109,100,114,101,90,84,0.4,19.4,,murraja01
35,Alperen Şengün,22,HOU,C,76,76,2395,.496,.519,.233,.505,.692,.545,.374,.079,106,95,65,93,89,95,154,19,-86.5,-83.2,,sengual01
36,Dillon Brooks,29,HOU,SF,75,75,2388,.429,.465,.397,.533,.818,.555,.135,.524,92,85,110,98,105,96,56,124,-18.1,-39.7,,brookdi01
37,Rudy Gobert,32,MIN,C,72,72,2388,.669,.669,,.669,.674,.687,.535,.000,143,123,,123,86,119,220,0,128.1,139.9,,goberru01
38,Tobias Harris,32,DET,PF,73,73,2305,.477,.542,.345,.534,.861,.571,.206,.328,102,99,96,98,110,99,85,78,-15.3,-9.8,,harrito02
39,Darius Garland,25,CLE,PG,75,75,2301,.472,.530,.401,.562,.878,.600,.217,.451,101,97,111,104,113,104,89,107,44.9,61.8,,garlada01
40,Jalen Brunson,28,NYK,PG,65,65,2301,.488,.539,.383,.551,.821,.605,.373,.331,104,99,106,101,105,105,154,79,18.6,80.0,,brunsja01
41,Jarrett Allen,26,CLE,C,82,82,2296,.706,.712,.000,.706,.718,.724,.433,.008,151,131,0,130,92,126,178,2,208.9,225.0,,allenja01
42,Chris Paul,39,SAS,PG,82,82,2292,.427,.514,.377,.547,.924,.580,.158,.636,91,94,105,101,118,101,65,151,4.8,4.5,,paulch01
43,Anfernee Simons,25,POR,SG,70,70,2292,.426,.496,.363,.521,.902,.557,.172,.527,91,91,101,96,116,97,71,125,-48.9,-46.8,,simonan01
